sample_id,class_id,model_index,original_class_id,source,source_version,signer_id,consent_id,split,raw_path,landmark_path,quality_status,training_status,manual_selectable,risk_tier,source_quality_status,quality_reason,avatar_id,extractor,view,recipe,derived_signer_id,donor_sample_id,target_sample_id
syn_stomachache_location_0001,stomachache,31,,SYNTHETIC,location,syn_ext_ezgi-tutkun,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0001.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_ezgi-tutkun,ext_headache_ezgi_tutkun_1_legacy,ext_headache_ezgi_tutkun_1_legacy
syn_stomachache_location_0002,stomachache,31,,SYNTHETIC,location,syn_ext_ezgi-tutkun,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0002.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_ezgi-tutkun,ext_headache_ezgi_tutkun_1_legacy,ext_headache_ezgi_tutkun_1_legacy
syn_stomachache_location_0003,stomachache,31,,SYNTHETIC,location,syn_ext_ezgi-tutkun,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0003.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_ezgi-tutkun,ext_headache_ezgi_tutkun_1_legacy,ext_headache_ezgi_tutkun_1_legacy
syn_stomachache_location_0004,stomachache,31,,SYNTHETIC,location,syn_ext_ezgi-tutkun,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0004.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_ezgi-tutkun,ext_headache_ezgi_tutkun_1_web_10fps_p0,ext_headache_ezgi_tutkun_1_web_10fps_p0
syn_stomachache_location_0005,stomachache,31,,SYNTHETIC,location,syn_ext_ezgi-tutkun,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0005.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_ezgi-tutkun,ext_headache_ezgi_tutkun_1_web_10fps_p0,ext_headache_ezgi_tutkun_1_web_10fps_p0
syn_stomachache_location_0006,stomachache,31,,SYNTHETIC,location,syn_ext_ezgi-tutkun,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0006.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_ezgi-tutkun,ext_headache_ezgi_tutkun_1_web_10fps_p0,ext_headache_ezgi_tutkun_1_web_10fps_p0
syn_stomachache_location_0007,stomachache,31,,SYNTHETIC,location,syn_ext_ezgi-tutkun,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0007.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_ezgi-tutkun,ext_headache_ezgi_tutkun_1_web_10fps_p50,ext_headache_ezgi_tutkun_1_web_10fps_p50
syn_stomachache_location_0008,stomachache,31,,SYNTHETIC,location,syn_ext_ezgi-tutkun,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0008.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_ezgi-tutkun,ext_headache_ezgi_tutkun_1_web_10fps_p50,ext_headache_ezgi_tutkun_1_web_10fps_p50
syn_stomachache_location_0009,stomachache,31,,SYNTHETIC,location,syn_ext_ezgi-tutkun,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0009.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_ezgi-tutkun,ext_headache_ezgi_tutkun_1_web_10fps_p50,ext_headache_ezgi_tutkun_1_web_10fps_p50
syn_stomachache_location_0010,stomachache,31,,SYNTHETIC,location,syn_ext_ezgi-tutkun,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0010.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_ezgi-tutkun,ext_headache_ezgi_tutkun_1_web_25fps_p0,ext_headache_ezgi_tutkun_1_web_25fps_p0
syn_stomachache_location_0011,stomachache,31,,SYNTHETIC,location,syn_ext_ezgi-tutkun,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0011.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_ezgi-tutkun,ext_headache_ezgi_tutkun_1_web_25fps_p0,ext_headache_ezgi_tutkun_1_web_25fps_p0
syn_stomachache_location_0012,stomachache,31,,SYNTHETIC,location,syn_ext_ezgi-tutkun,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0012.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_ezgi-tutkun,ext_headache_ezgi_tutkun_1_web_25fps_p0,ext_headache_ezgi_tutkun_1_web_25fps_p0
syn_stomachache_location_0013,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0013.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_1_legacy,ext_headache_serpil_avci_1_legacy
